kode_pintu	tinggi_air	kode_kota	banjir
9	8410	0	0
10	300	3	0
11	5850	0	0
12	1990	2	0
13	1910	2	0
14	20	2	0
15	1150	0	0
16	1240	1	0
2	3440	1	0
17	2130	4	0
18	3200	3	0
20	2160	2	0
11	5820	0	0
16	1240	1	0
6	0	2	0
19	2750	3	0
19	2750	3	0
5	3450	0	0
5	3450	0	0
0	-10	0	0
7	490	0	0
8	1550	0	0
9	8200	0	0
4	770	0	0
10	290	3	0
12	2010	2	0
13	1910	2	0
14	-50	2	0
15	1140	0	0
2	3440	1	0
17	2120	4	0
18	3180	3	0
20	2220	2	0
6	0	2	0
0	40	0	0
7	480	0	0
8	1550	0	0
9	8240	0	0
4	770	0	0
10	280	3	0
11	5640	0	0
12	2010	2	0
13	1790	2	0
14	80	2	0
15	1130	0	0
16	1240	1	0
2	3440	1	0
17	2120	4	0
18	3180	3	0
20	1960	2	0
19	2750	3	0
19	2750	3	0
16	1240	1	0
6	0	2	0
3	1050	1	0
3	1050	1	0
3	1050	1	0
5	2000	0	0
5	2000	0	0
0	20	0	0
7	470	0	0
8	1550	0	0
9	8140	0	0
4	760	0	0
10	270	3	0
11	5520	0	0
12	1980	2	0
13	1770	2	0
14	110	2	0
15	1120	0	0
2	3440	1	0
17	2110	4	0
18	3100	3	0
20	1990	2	0
11	5450	0	0
6	0	2	0
0	10	0	0
7	470	0	0
8	1540	0	0
9	8020	0	0
4	730	0	0
10	260	3	0
12	1950	2	0
13	1750	2	0
14	100	2	0
15	1120	0	0
16	1240	1	0
2	3440	1	0
17	2100	4	0
18	3030	3	0
20	1910	2	0
6	0	2	0
5	2000	0	0
5	2000	0	0
0	10	0	0
7	470	0	0
8	1530	0	0
9	7920	0	0
4	700	0	0
10	250	3	0
11	5290	0	0
12	1910	2	0
13	1740	2	0
14	80	2	0
15	1110	0	0
16	1240	1	0
2	3440	1	0
17	2090	4	0
18	3090	3	0
20	1890	2	0
6	0	2	0
0	-10	0	0
7	470	0	0
8	1520	0	0
9	7840	0	0
4	680	0	0
10	240	3	0
11	5200	0	0
12	1880	2	0
13	1710	2	0
14	40	2	0
15	1090	0	0
16	1240	1	0
